,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"COBALT INTERNATIONAL",JAN,CIE,CIE,"Citadel Securities LLC","NYSE","N",CIE,
"COBIZ FINANCIAL INC",FEB,COBZ,COBZ,"Wolverine Trading, LLC","NASDAQ","Y",COBZ,
"COCA COLA CO THE",FEB,KO,KO,"Timber Hill LLC","NYSE","N",KO,
"COCA COLA ENTRPR INC",FEB,CCE,CCE,"Citadel Securities LLC","NYSE","N",CCE,
"COCA COLA FEMSA S.A.",FEB,KOF,KOF,"Susquehanna Securities","NYSE","N",KOF,
"COEUR MINING, INC.",MAR,CDE,CDE,"Citadel Securities LLC","NYSE","N",CDE,
"COGENT COMM HLDGS",JAN,CCOI,CCOI,"Wolverine Trading, LLC","NASDAQ","N",CCOI,
"COGNEX CP",FEB,CGNX,CGNX,"Citadel Securities LLC","NASDAQ","N",CGNX,
"COGNIZANT TECH SOL",JAN,CTSH,CTSH,"Susquehanna Securities","NASDAQ","N",CTSH,
"COHERUS BIO CMN STK",FEB,CHRS,CHRS,"Susquehanna Securities","NASDAQ","N",CHRS,
"COHN & STEERS",MAR,CNS,CNS,"Susquehanna Securities","NYSE","N",CNS,
"COHU INC",FEB,COHU,COHU,"Citadel Securities LLC","NASDAQ","N",COHU,
"COLFAX CORPORATION",MAR,CFX,CFX,"Citadel Securities LLC","NYSE","N",CFX,
"COLGATE PALMOLIVE",FEB,CL,CL,"Citadel Securities LLC","NYSE","N",CL,
"COLLECTORS UNIVERSE",JAN,CLCT,CLCT,"Wolverine Trading, LLC","NASDAQ","N",CLCT,
"COLONY CAPITAL CL A",MAR,CLNY,CLNY,"Susquehanna Securities","NYSE","N",CLNY,
"COLONY STARWOOD",JAN,SFR,SFR,"Susquehanna Securities","NYSE","N",SFR,
"COLUMBIA BANKING SYS",FEB,COLB,COLB,"Wolverine Trading, LLC","NASDAQ","N",COLB,
"COLUMBIA PIPELINE GP",JAN,CPGX,CPGX,"Citadel Securities LLC","NYSE","N",CPGX,
"COLUMBIA PIPELINE LP",JAN,CPPL,CPPL,"Susquehanna Securities","NYSE","N",CPPL,
"COLUMBIA PPTY TRUST",JAN,CXP,CXP,"Citadel Securities LLC","NYSE","N",CXP,
"COLUMBIA SPRTSWR",JAN,COLM,COLM,"Citadel Securities LLC","NASDAQ","N",COLM,
"COLUMBUS MCKINNON",MAR,CMCO,CMCO,"Morgan Stanley & Co. LLC","NASDAQ","N",CMCO,
"COM SLS LEASE CN",FEB,CSAL,CSAL,"Citadel Securities LLC","NASDAQ","N",CSAL,
"COMCAST CORP A",JAN,CMCSA,CMCSA,"Citadel Securities LLC","NASDAQ","N",CMCSA,
"COMERICA INC",JAN,CMA,CMA,"Timber Hill LLC","NYSE","N",CMA,
"COMFORT SYS USA INC",JAN,FIX,FIX,"Susquehanna Securities","NYSE","N",FIX,
"COMMERCE BANCSHARES",FEB,CBSH,CBSH,"Wolverine Trading, LLC","NASDAQ","N",CBSH,
"COMMERCIAL METALS CO",MAR,CMC,CMC,"Citadel Securities LLC","NYSE","N",CMC,
"COMMERCIAL VEHICLE G",MAR,CVGI,CVGI,"Susquehanna Securities","NASDAQ","N",CVGI,
"COMMSCOPE HOLDING CO",FEB,COMM,COMM,"Susquehanna Securities","NASDAQ","N",COMM,
"COMMUNITY BK SYS INC",FEB,CBU,CBU,"Citadel Securities LLC","NYSE","N",CBU,
"COMMUNITY HEALTH",MAR,CYH,CYH,"Susquehanna Securities","NYSE","N",CYH,
"COMMVAULT SYSTEMS",JAN,CVLT,CVLT,"Susquehanna Securities","NASDAQ","N",CVLT,
"COMP ENERG CEMIG ADS",MAR,CIG,CIG,"Susquehanna Securities","NYSE","N",CIG,
"COMPANHIA BRASIL ADS",MAR,CBD,CBD,"Wolverine Trading, LLC","NYSE","N",CBD,
"COMPANHIA SANEA ADS",JAN,SBS,SBS,"Citadel Securities LLC","NYSE","N",SBS,
"COMPANHIA SIDER ADS",MAR,SID,SID,"Citadel Securities LLC","NYSE","N",SID,
"COMPASS DIVERSFD HLD",FEB,CODI,CODI,"Susquehanna Securities","NYSE","N",CODI,
"COMPASS MINERALS INT",MAR,CMP,CMP,"Citadel Securities LLC","NYSE","N",CMP,
"COMPUGEN LTD",MAR,CGEN,CGEN,"Susquehanna Securities","NASDAQ","N",CGEN,
"COMPUTER PROGRAMS",MAR,CPSI,CPSI,"Susquehanna Securities","NASDAQ","N",CPSI,
"COMPUTER SCIENCES CP",MAR,CSC,CSC,"Citadel Securities LLC","NYSE","N",CSC,
"COMPUTER SCIENCES CP(ADJ)",,CSC1,CSC1,"Citadel Securities LLC","NYSE","N",CSC,"CSRA"
"COMPUTER TASK GP INC",JAN,CTG,CTG,"Wolverine Trading, LLC","NASDAQ","N",CTG,
"COMSCORE, INC.",MAR,SCOR,SCOR,"Susquehanna Securities","NASDAQ","N",SCOR,
"COMSTOCK RES",MAR,CRK,CRK,"Citadel Securities LLC","NYSE","N",CRK,
"COMTECH TELECOM CO",JAN,CMTL,CMTL,"Citadel Securities LLC","NASDAQ","N",CMTL,
"CONAGRA FOOD INC",MAR,CAG,CAG,"Citigroup Derivatives Markets Inc.","NYSE","N",CAG,
"CONATUS PHARMACEUTIC",JAN,CNAT,CNAT,"Susquehanna Securities","NASDAQ","N",CNAT,
"CONCHO RESOURCES INC",MAR,CXO,CXO,"Citadel Securities LLC","NYSE","N",CXO,
"CONCORDIA HLTH CM",FEB,CXRX,CXRX,"Susquehanna Securities","NASDAQ","N",CXRX,
"CONCURRENT COMPUTER",JAN,CCUR,CCUR,"Wolverine Trading, LLC","NASDAQ","N",CCUR,
"CONE MIDSTREAM PRTNS",MAR,CNNX,CNNX,"Citadel Securities LLC","NYSE","N",CNNX,
"CONN'S, INC.",JAN,CONN,CONN,"Citadel Securities LLC","NASDAQ","N",CONN,
"CONOCOPHILLIPS",FEB,COP,COP,"Citadel Securities LLC","NYSE","N",COP,
"CONS EDISON INC",FEB,ED,ED,"Susquehanna Securities","NYSE","N",ED,
"CONS ENERGY INC",JAN,CNX,CNX,"Citadel Securities LLC","NYSE","N",CNX,
"CONS WATER CO INC",FEB,CWCO,CWCO,"Susquehanna Securities","NASDAQ","N",CWCO,
"CONSOLIDATED COMMUNI",JAN,CNSL,CNSL,"Citadel Securities LLC","NASDAQ","N",CNSL,
"CONSTELLATION BRD A",JAN,STZ,STZ,"Timber Hill LLC","NYSE","N",STZ,
"CONSTELLIUM N.V.",FEB,CSTM,CSTM,"Susquehanna Securities","NYSE","N",CSTM,
"CONSUMER DIS SS SPDR",,XLY,XLY,"Timber Hill LLC","NYSE ARCA","N",XLY,
"CONSUMER PORTFOL",JAN,CPSS,CPSS,"Wolverine Trading, LLC","NASDAQ","N",CPSS,
"CONSUMER STAP SPDR",,XLP,XLP,"Citadel Securities LLC","NYSE ARCA","N",XLP,
"CONTAINER STORE THE",JAN,TCS,TCS,"Wolverine Trading, LLC","NYSE","N",TCS,
"CONTANGO OIL & GAS",JAN,MCF,MCF,"Susquehanna Securities","NYSE MKT","N",MCF,
"CONTINENTAL RESRCES",MAR,CLR,CLR,"Citadel Securities LLC","NYSE","N",CLR,
"CONTROL4 CORPORATION",JAN,CTRL,CTRL,"Wolverine Trading, LLC","NASDAQ","N",CTRL,
"CONTROLADORA ADS",MAR,VLRS,VLRS,"Wolverine Trading, LLC","NYSE","N",VLRS,
"CONVERGYS CP",JAN,CVG,CVG,"Citadel Securities LLC","NYSE","N",CVG,
"COOPER COS INC",FEB,COO,COO,"Citadel Securities LLC","NYSE","N",COO,
"COOPER TIRE RUBBER",FEB,CTB,CTB,"Group One Trading, L.P.","NYSE","N",CTB,
"COPA HOLDINGS S.A.",FEB,CPA,CPA,"Susquehanna Securities","NYSE","N",CPA,
"COPART, INC.",FEB,CPRT,CPRT,"Citadel Securities LLC","NASDAQ","N",CPRT,
"CORCEPT THERAPEUTICS",FEB,CORT,CORT,"Citadel Securities LLC","NASDAQ","N",CORT,
"CORE LABS NV",MAR,CLB,CLB,"Citadel Securities LLC","NYSE","N",CLB,
"CORE MARK HOLDING",FEB,CORE,CORE,"Susquehanna Securities","NASDAQ","N",CORE,
"CORELOGIC, INC.",JAN,CLGX,CLGX,"Citadel Securities LLC","NYSE","N",CLGX,
"CORENERGY INFRASTRUC",MAR,CORR,CORR,"Wolverine Trading, LLC","NYSE","N",CORR,
"CORESITE REALTY CORP",JAN,COR,COR,"Susquehanna Securities","NYSE","N",COR,
"CORMEDIX INC.",JAN,CRMD,CRMD,"Citadel Securities LLC","NYSE MKT","N",CRMD,
"CORNERSTONE ONDEMAND",FEB,CSOD,CSOD,"Wolverine Trading, LLC","NASDAQ","N",CSOD,
"CORNING INC",FEB,GLW,GLW,"Citigroup Derivatives Markets Inc.","NYSE","N",GLW,
"CORP OFFICE PPTY TR",MAR,OFC,OFC,"Citadel Securities LLC","NYSE","N",OFC,
"CORRECTIONS CORP AM",MAR,CXW,CXW,"Citadel Securities LLC","NYSE","N",CXW,
"CORVEL CP",JAN,CRVL,CRVL,"Susquehanna Securities","NASDAQ","Y",CRVL,
"COSAN LIMITED CL A",MAR,CZZ,CZZ,"Wolverine Trading, LLC","NYSE","N",CZZ,
"COSTAMARE INC.",MAR,CMRE,CMRE,"Susquehanna Securities","NYSE","N",CMRE,
"COSTAR GROUP INC",JAN,CSGP,CSGP,"Susquehanna Securities","NASDAQ","N",CSGP,
"COSTCO WHOLESALE",JAN,COST,COST,"Timber Hill LLC","NASDAQ","N",COST,
"COTT CP",FEB,COT,COT,"Citadel Securities LLC","NYSE","N",COT,
"COTY INC.",FEB,COTY,COTY,"Susquehanna Securities","NYSE","N",COTY,
"COUSINS PROP INC",JAN,CUZ,CUZ,"Susquehanna Securities","NYSE","N",CUZ,
"COVANTA HLD CP",MAR,CVA,CVA,"Timber Hill LLC","NYSE","N",CVA,
"COWEN GROUP INC",JAN,COWN,COWN,"Citadel Securities LLC","NASDAQ","N",COWN,
"CPFL ENERGIA SA ADS",MAR,CPL,CPL,"Susquehanna Securities","NYSE","N",CPL,
"CPI CARD GROUP CMN",MAR,PMTS,PMTS,"Susquehanna Securities","NASDAQ","N",PMTS,
"CRACKER BARREL",MAR,CBRL,CBRL,"Citadel Securities LLC","NASDAQ","N",CBRL,
"CRAFT BREW ALLIANCE",FEB,BREW,BREW,"Group One Trading, L.P.","NASDAQ","N",BREW,
"CRANE CO",MAR,CR,CR,"Citadel Securities LLC","NYSE","N",CR,
"CRAY INC",JAN,CRAY,CRAY,"Citadel Securities LLC","NASDAQ","N",CRAY,
"CREDICORP LTD",FEB,BAP,BAP,"Susquehanna Securities","NYSE","N",BAP,
"CREDIT ACCEPTANCE",JAN,CACC,CACC,"Susquehanna Securities","NASDAQ","N",CACC,
"CREE, INC.",MAR,CREE,CREE,"Citadel Securities LLC","NASDAQ","N",CREE,
"CRESCENT PT ENERGY",JAN,CPG,CPG,"Citadel Securities LLC","NYSE","N",CPG,
"CRESTWOOD EQ PRTNRS",JAN,CEQP,CEQP,"Citadel Securities LLC","NYSE","N",CEQP,
"CRITEO S.A. ADS",JAN,CRTO,CRTO,"Morgan Stanley & Co. LLC","NASDAQ","N",CRTO,
"CRNCYSHRS JPN YEN TR",MAR,FXY,FXY,"Susquehanna Securities","NYSE ARCA","N",FXY,
"CROCS, INC.",MAR,CROX,CROX,"Citigroup Derivatives Markets Inc.","NASDAQ","N",CROX,
"CROSS CTRY HLTHCR",MAR,CCRN,CCRN,"Susquehanna Securities","NASDAQ","N",CCRN,
"CROSSAMERICA PRTNERS",JAN,CAPL,CAPL,"Wolverine Trading, LLC","NYSE","N",CAPL,
"CROSSROADS CAP INC.",JAN,XRDC,XRDC,"Wolverine Trading, LLC","NASDAQ","N",XRDC,
"CROWN CASTLE INTL",JAN,CCI,CCI,"Citadel Securities LLC","NYSE","N",CCI,
"CROWN HOLDINGS INC",JAN,CCK,CCK,"Citadel Securities LLC","NYSE","N",CCK,
"CRRNCYSHR AUS DLR TR",MAR,FXA,FXA,"Timber Hill LLC","NYSE ARCA","N",FXA,
"CRRNCYSHR BP STER TR",MAR,FXB,FXB,"Citadel Securities LLC","NYSE ARCA","N",FXB,
"CRRNCYSHR SW FR TR",MAR,FXF,FXF,"Timber Hill LLC","NYSE ARCA","N",FXF,
"CRRNCYSHRS CAN DL TR",MAR,FXC,FXC,"Susquehanna Securities","NYSE ARCA","N",FXC,
"CRYOLIFE INC",JAN,CRY,CRY,"Susquehanna Securities","NYSE","N",CRY,
"CS X-LINKS CUSHINGS",MAR,MLPN,MLPN,"Wolverine Trading, LLC","NYSE ARCA","N",MLPN,
"CSI COMPRESSCO CMN",JAN,CCLP,CCLP,"Wolverine Trading, LLC","NASDAQ","N",CCLP,
"CSOP FTSE CHINA A50",MAR,AFTY,AFTY,"Citadel Securities LLC","NYSE ARCA","N",AFTY,
"CSRA INC.",MAR,CSRA,CSRA,"Wolverine Trading, LLC","NYSE","N",CSRA,
"CST BRANDS, INC.",MAR,CST,CST,"Citadel Securities LLC","NYSE","N",CST,
"CSX CORPORATION",FEB,CSX,CSX,"Timber Hill LLC","NASDAQ","N",CSX,
"CTC MEDIA, INC.",FEB,CTCM,CTCM,"Wolverine Trading, LLC","NASDAQ","N",CTCM,
"CTI BIOPHARM CORP.",MAR,CTIC,CTIC,"Susquehanna Securities","NASDAQ","N",CTIC,
"CTRIP.COM INTL LTD",MAR,CTRP,CTRP,"Citadel Securities LLC","NASDAQ","N",CTRP,
"CUBESMART",JAN,CUBE,CUBE,"Wolverine Trading, LLC","NYSE","N",CUBE,
"CUBIC CP",JAN,CUB,CUB,"Citadel Securities LLC","NYSE","N",CUB,
"CUI GLOBAL, INC",JAN,CUI,CUI,"Wolverine Trading, LLC","NASDAQ","N",CUI,
"CULLEN FROST BNKRS",JAN,CFR,CFR,"Citadel Securities LLC","NYSE","N",CFR,
"CUMBERLAND PHARMACEU",JAN,CPIX,CPIX,"Susquehanna Securities","NASDAQ","N",CPIX,
"CUMMINS INC",MAR,CMI,CMI,"Citadel Securities LLC","NYSE","N",CMI,
"CUMULUS MEDIA INC",MAR,CMLS,CMLS,"Wolverine Trading, LLC","NASDAQ","N",CMLS,
"CURIS INC",MAR,CRIS,CRIS,"Citadel Securities LLC","NASDAQ","N",CRIS,
"CURRENCYSHARES EURO",MAR,FXE,FXE,"Citadel Securities LLC","NYSE ARCA","N",FXE,
"CURTISS WRIGHT CP",MAR,CW,CW,"Citadel Securities LLC","NYSE","N",CW,
"CUSTOMERS BNCRP CMN",FEB,CUBI,CUBI,"Wolverine Trading, LLC","NYSE","Y",CUBI,
"CUTERA, INC.",MAR,CUTR,CUTR,"Citadel Securities LLC","NASDAQ","N",CUTR,
"CVB FINANCIAL CORP",MAR,CVBF,CVBF,"Wolverine Trading, LLC","NASDAQ","N",CVBF,
"CVENT, INC.",JAN,CVT,CVT,"Citadel Securities LLC","NYSE","N",CVT,
"CVR ENERGY INC",MAR,CVI,CVI,"Susquehanna Securities","NYSE","N",CVI,
"CVR PARTNERS, LP",FEB,UAN,UAN,"Susquehanna Securities","NYSE","N",UAN,
"CVR REFINING, LP",MAR,CVRR,CVRR,"Morgan Stanley & Co. LLC","NYSE","N",CVRR,
"CVS HEALTHCP",FEB,CVS,CVS,"Timber Hill LLC","NYSE","N",CVS,
"CYBERARK SOFT ORD",JAN,CYBR,CYBR,"Citadel Securities LLC","NASDAQ","N",CYBR,
"CYCLACEL PHARMACEUTI",JAN,CYCC,CYCC,"Susquehanna Securities","NASDAQ","N",CYCC,
"CYNOSURE, INC.",JAN,CYNO,CYNO,"Susquehanna Securities","NASDAQ","N",CYNO,
"CYPRESS SEMICONDUCTR",MAR,CY,CY,"Citigroup Derivatives Markets Inc.","NASDAQ","N",CY,
"CYRUSONE INC CMN",MAR,CONE,CONE,"Susquehanna Securities","NASDAQ","N",CONE,
"CYS INVESTMENTS, INC",MAR,CYS,CYS,"Susquehanna Securities","NYSE","N",CYS,
"CYTOKINETICS",FEB,CYTK,CYTK,"Group One Trading, L.P.","NASDAQ","N",CYTK,
"CYTORI THERAPEUTICS",MAR,CYTX,CYTX,"Citadel Securities LLC","NASDAQ","N",CYTX,
"CYTOSORBENTS COR",FEB,CTSO,CTSO,"Wolverine Trading, LLC","NASDAQ","N",CTSO,
"CYTRX CP",MAR,CYTR,CYTR,"Group One Trading, L.P.","NASDAQ","N",CYTR,
"D R HORTON INC",FEB,DHI,DHI,"Timber Hill LLC","NYSE","N",DHI,
"D S P GROUP INC",JAN,DSPG,DSPG,"Wolverine Trading, LLC","NASDAQ","Y",DSPG,
"D T E ENERGY CO HLDG",JAN,DTE,DTE,"Citadel Securities LLC","NYSE","N",DTE,
"D/B/A CHUBB LTD NEW",FEB,CB,CB,"Citadel Securities LLC","NYSE","N",CB,
"DAILY TECH BEAR 3X",JAN,TECS,TECS,"Citadel Securities LLC","NYSE ARCA","N",TECS,
"DAILY TECH BULL 3X",JAN,TECL,TECL,"Citadel Securities LLC","NYSE ARCA","N",TECL,
"DAKTRONICS INC",JAN,DAKT,DAKT,"Citadel Securities LLC","NASDAQ","N",DAKT,
"DANA HOLDING CP",MAR,DAN,DAN,"Citadel Securities LLC","NYSE","N",DAN,
"DANAHER CP",MAR,DHR,DHR,"Citadel Securities LLC","NYSE","N",DHR,
"DARDEN RESTAURANTS",JAN,DRI,DRI,"Citadel Securities LLC","NYSE","N",DRI,
"DARDEN RESTAURANTS(ADJ)",,DRI1,DRI1,"Citadel Securities LLC","NYSE","N",DRI,"FCPT"
"DARLING INGREDIENTS",JAN,DAR,DAR,"Citadel Securities LLC","NYSE","N",DAR,
"DATALINK CORP",MAR,DTLK,DTLK,"Susquehanna Securities","NASDAQ","N",DTLK,
"DATAWATCH CP",MAR,DWCH,DWCH,"Wolverine Trading, LLC","NASDAQ","N",DWCH,
"DAVITA HEALTHCARE",JAN,DVA,DVA,"Timber Hill LLC","NYSE","N",DVA,
"DB COMMODITY IDX TRK",,DBC,DBC,"Citadel Securities LLC","NYSE ARCA","N",DBC,
"DBV TECHNOLOGIES ADS",FEB,DBVT,DBVT,"Susquehanna Securities","NASDAQ","N",DBVT,
"DCP MIDSTREAM LP",JAN,DPM,DPM,"Morgan Stanley & Co. LLC","NYSE","N",DPM,
"DCT INDUSTRIAL TRUST",MAR,DCT,DCT,"Wolverine Trading, LLC","NYSE","N",DCT,
"DDR CORP.",JAN,DDR,DDR,"Citadel Securities LLC","NYSE","N",DDR,
"DEAN FOODS CO",MAR,DF,DF,"Citadel Securities LLC","NYSE","N",DF,
"DECKERS OUTDOOR CP",MAR,DECK,DECK,"Citadel Securities LLC","NYSE","N",DECK,
"DEERE CO",MAR,DE,DE,"Timber Hill LLC","NYSE","N",DE,
"DEL FRISCO'S RESTRNT",MAR,DFRG,DFRG,"Wolverine Trading, LLC","NASDAQ","N",DFRG,
"DELCATH SYSTEMS INC",MAR,DCTH,DCTH,"Citadel Securities LLC","NASDAQ","N",DCTH,
"DELEK US HOLDINGS",JAN,DK,DK,"Susquehanna Securities","NYSE","N",DK,
"DELPHI AUTOMOTIVE",FEB,DLPH,DLPH,"Citadel Securities LLC","NYSE","N",DLPH,
"DELTA AIR LINES, INC",MAR,DAL,DAL,"Citadel Securities LLC","NYSE","N",DAL,
"DELUXE CP",JAN,DLX,DLX,"Citadel Securities LLC","NYSE","N",DLX,
"DEMAND MEDIA INC.",FEB,DMD,DMD,"Citadel Securities LLC","NYSE","N",DMD,
"DEMANDWARE, INC.",JAN,DWRE,DWRE,"Wolverine Trading, LLC","NYSE","N",DWRE,
"DENBURY RES INC",MAR,DNR,DNR,"Citadel Securities LLC","NYSE","N",DNR,
"DENISON MINES CP NEW",JAN,DNN,DNN,"Citadel Securities LLC","NYSE MKT","N",DNN,
"DENNYS CORP",FEB,DENN,DENN,"Wolverine Trading, LLC","NASDAQ","N",DENN,
"DENTSPLY SIRONA INC.",JAN,XRAY,XRAY,"Citadel Securities LLC","NASDAQ","N",XRAY,
"DEPOMED INC",MAR,DEPO,DEPO,"Group One Trading, L.P.","NASDAQ","N",DEPO,
"DERMIRA, INC. CM ST",MAR,DERM,DERM,"Susquehanna Securities","NASDAQ","N",DERM,
"DESTINATION MATERNTY",FEB,DEST,DEST,"Susquehanna Securities","NASDAQ","N",DEST,
"DESTINATION XL GRP",MAR,DXLG,DXLG,"Susquehanna Securities","NASDAQ","N",DXLG,
"DEUTSCHE BANK AG",JAN,DB,DB,"Morgan Stanley & Co. LLC","NYSE","N",DB,
"DEUTSCHE X-TRKR 300",JAN,ASHR,ASHR,"Citadel Securities LLC","NYSE ARCA","N",ASHR,
"DEVELOPED MKTS BULL3",JAN,DZK,DZK,"Wolverine Trading, LLC","NYSE ARCA","N",DZK,
"DEVON ENERGY CP (OK)",JAN,DVN,DVN,"Citigroup Derivatives Markets Inc.","NYSE","N",DVN,
"DEVRY EDUCATION GRP",FEB,DV,DV,"Citadel Securities LLC","NYSE","N",DV,
"DEXCOM",MAR,DXCM,DXCM,"Citadel Securities LLC","NASDAQ","N",DXCM,
"DHI GROUP, INC.",FEB,DHX,DHX,"Citadel Securities LLC","NYSE","N",DHX,
"DHT HOLDINGS, INC.",JAN,DHT,DHT,"Wolverine Trading, LLC","NYSE","N",DHT,
"DIAGEO PLC ADS NEW",JAN,DEO,DEO,"Morgan Stanley & Co. LLC","NYSE","N",DEO,
"DIAMOND OFFSHORE DRL",MAR,DO,DO,"Citadel Securities LLC","NYSE","N",DO,
"DIAMOND RESORTS INTL",FEB,DRII,DRII,"Susquehanna Securities","NYSE","N",DRII,
"DIAMONDBACK ENERGY",MAR,FANG,FANG,"Citadel Securities LLC","NASDAQ","N",FANG,
"DIAMONDROCK HOSP CO",MAR,DRH,DRH,"Susquehanna Securities","NYSE","N",DRH,
"DIANA CONTAINRSHP",MAR,DCIX,DCIX,"Susquehanna Securities","NASDAQ","N",DCIX,
"DIANA SHIPPING INC.",MAR,DSX,DSX,"Susquehanna Securities","NYSE","N",DSX,
"DICK'S SPORTING GDS",MAR,DKS,DKS,"Timber Hill LLC","NYSE","N",DKS,
"DIEBOLD INC",FEB,DBD,DBD,"Citadel Securities LLC","NYSE","N",DBD,
"DIGI INTL INC",MAR,DGII,DGII,"Group One Trading, L.P.","NASDAQ","N",DGII,
"DIGIMARC CORPORATION",MAR,DMRC,DMRC,"Susquehanna Securities","NASDAQ","N",DMRC,
"DIGIRAD CORPORATION",MAR,DRAD,DRAD,"Citadel Securities LLC","NASDAQ","N",DRAD,
"DIGITAL REALTY TRUST",JAN,DLR,DLR,"Citadel Securities LLC","NYSE","N",DLR,
"DIGITALGLOBE, INC",MAR,DGI,DGI,"Citadel Securities LLC","NYSE","N",DGI,
"DILLARD'S INC",FEB,DDS,DDS,"Citadel Securities LLC","NYSE","N",DDS,
"DIME COMMUNITY BNCSH",MAR,DCOM,DCOM,"Susquehanna Securities","NASDAQ","Y",DCOM,
"DINEEQUITY, INC",MAR,DIN,DIN,"Timber Hill LLC","NYSE","N",DIN,
"DIODES INC",MAR,DIOD,DIOD,"Susquehanna Securities","NASDAQ","N",DIOD,
"DIPLOMAT PHARMACY",FEB,DPLO,DPLO,"Citadel Securities LLC","NYSE","N",DPLO,
"DIREXION CSI 300 CHN",FEB,CHAU,CHAU,"Citadel Securities LLC","NYSE ARCA","N",CHAU,
"DIREXION DAILY 20 YR",FEB,TMF,TMF,"Citadel Securities LLC","NYSE ARCA","N",TMF,
"DIREXION DAILY 20-YE",FEB,TMV,TMV,"Citadel Securities LLC","NYSE ARCA","N",TMV,
"DIREXION DAILY RE",,DRV,DRV,"Citadel Securities LLC","NYSE ARCA","N",DRV,
"DIREXION DAILY REAL",,DRN,DRN,"Citadel Securities LLC","NYSE ARCA","N",DRN,
"DIREXION DAILY S&P B",MAR,LABD,LABD,"Susquehanna Securities","NYSE ARCA","N",LABD,
"DIREXION DAILY S&P O",MAR,DRIP,DRIP,"Wolverine Trading, LLC","NYSE ARCA","N",DRIP,
"DIREXION DAILY S&P O",MAR,GUSH,GUSH,"Susquehanna Securities","NYSE ARCA","N",GUSH,
"DIREXION DLY FTSE BL",JAN,YINN,YINN,"Morgan Stanley & Co. LLC","NYSE ARCA","N",YINN,
"DIREXION DLY FTSE BR",JAN,YANG,YANG,"Morgan Stanley & Co. LLC","NYSE ARCA","N",YANG,
"DIREXION S&P BULL 3X",JAN,SPXL,SPXL,"Citadel Securities LLC","NYSE ARCA","N",SPXL,
"DIREXION S&P500 BEAR",JAN,SPXS,SPXS,"Citadel Securities LLC","NYSE ARCA","N",SPXS,
"DIRX BRAZIL BULL 3X",MAR,BRZU,BRZU,"Susquehanna Securities","NYSE ARCA","N",BRZU,
"DISCOVER FIN SVCS",JAN,DFS,DFS,"Citigroup Derivatives Markets Inc.","NYSE","N",DFS,
"DISCOVERY COMM A",JAN,DISCA,DISCA,"Citadel Securities LLC","NASDAQ","N",DISCA,
"DISCOVERY COMM INC",MAR,DISCK,DISCK,"Wolverine Trading, LLC","NASDAQ","N",DISCK,
"DISCOVERY LABS INC",JAN,DSCO,DSCO,"Wolverine Trading, LLC","NASDAQ","N",DSCO,
"DISH NETWORK CORP",MAR,DISH,DISH,"Citigroup Derivatives Markets Inc.","NASDAQ","N",DISH,
"DOCUMENT SECURTY SYS",MAR,DSS,DSS,"Susquehanna Securities","NYSE MKT","N",DSS,
"DOLBY LABORATORIES",MAR,DLB,DLB,"Citadel Securities LLC","NYSE","N",DLB,
"DOLLAR GENERAL CORP",FEB,DG,DG,"Citadel Securities LLC","NYSE","N",DG,
"DOLLAR TREE INC",FEB,DLTR,DLTR,"Timber Hill LLC","NASDAQ","N",DLTR,
"DOMINION DIA CP",FEB,DDC,DDC,"Susquehanna Securities","NYSE","N",DDC,
"DOMINION MIDSTREAM",FEB,DM,DM,"Wolverine Trading, LLC","NYSE","N",DM,
"DOMINION RES NEW",JAN,D,D,"Susquehanna Securities","NYSE","N",D,
"DOMINOS PIZZA INC",MAR,DPZ,DPZ,"Citadel Securities LLC","NYSE","N",DPZ,
"DOMTAR CORP NEW",JAN,UFS,UFS,"Citadel Securities LLC","NYSE","N",UFS,
"DONALDSON CO INC",FEB,DCI,DCI,"Citadel Securities LLC","NYSE","N",DCI,
"DONEGAL GROUP CL A",MAR,DGICA,DGICA,"Wolverine Trading, LLC","NASDAQ","N",DGICA,
"DORCHESTER MINLS",FEB,DMLP,DMLP,"Susquehanna Securities","NASDAQ","N",DMLP,
"DORMAN PRODUCTS INC",FEB,DORM,DORM,"Susquehanna Securities","NASDAQ","N",DORM,
"DOUGLAS DYNAMICS",FEB,PLOW,PLOW,"Citadel Securities LLC","NYSE","N",PLOW,
"DOUGLAS EMMETT",JAN,DEI,DEI,"Citadel Securities LLC","NYSE","N",DEI,
"DOVER CP",MAR,DOV,DOV,"Citadel Securities LLC","NYSE","N",DOV,
"DOW CHEMICAL",MAR,DOW,DOW,"Timber Hill LLC","NYSE","N",DOW,
"DR PEPPER SNAPPLE GP",FEB,DPS,DPS,"Citadel Securities LLC","NYSE","N",DPS,
"DR. REDDY'S LAB LTD",MAR,RDY,RDY,"Wolverine Trading, LLC","NYSE","N",RDY,
"DRDGOLD LIMITED ADS",FEB,DRD,DRD,"Susquehanna Securities","NYSE","N",DRD,
"DREAMWORKS ANIMATION",MAR,DWA,DWA,"Timber Hill LLC","NASDAQ","N",DWA,
"DREW INDUSTRIES INC",JAN,DW,DW,"Morgan Stanley & Co. LLC","NYSE","N",DW,
"DRIL QUIP INC",MAR,DRQ,DRQ,"Susquehanna Securities","NYSE","N",DRQ,
