,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"ADTRAN INC",FEB,ADTN,ADTN,"Timber Hill LLC","NASDAQ","N",ADTN,
"ADV MICRO DEVICES",JAN,AMD,AMD,"Timber Hill LLC","NASDAQ","N",AMD,
"ADVANCE AUTO PARTS",MAR,AAP,AAP,"Citadel Securities LLC","NYSE","N",AAP,
"ADVANCED ENERGY",JAN,AEIS,AEIS,"Susquehanna Securities","NASDAQ","N",AEIS,
"ADVANCED SEMICONDUCT",MAR,ASX,ASX,"Susquehanna Securities","NYSE","N",ASX,
"ADVANTAGE OIL & GAS",FEB,AAV,AAV,"Citadel Securities LLC","NYSE","N",AAV,
"ADVAXIS INC CMN STK",JAN,ADXS,ADXS,"Group One Trading, L.P.","NASDAQ","N",ADXS,
"ADVISORY BOARD CO",MAR,ABCO,ABCO,"Morgan Stanley & Co. LLC","NASDAQ","N",ABCO,
"AECOM",MAR,ACM,ACM,"Timber Hill LLC","NYSE","N",ACM,
"AEGEAN MARINE PETROL",MAR,ANW,ANW,"Group One Trading, L.P.","NYSE","N",ANW,
"AEGERION PHARMA INC",MAR,AEGR,AEGR,"Citadel Securities LLC","NASDAQ","N",AEGR,
"AEGION CORP CMN STK",MAR,AEGN,AEGN,"Susquehanna Securities","NASDAQ","N",AEGN,
"AEGON N V ADR",JAN,AEG,AEG,"Citadel Securities LLC","NYSE","N",AEG,
"AERCAP HOLDINGS N.V.",JAN,AER,AER,"Group One Trading, L.P.","NYSE","N",AER,
"AERIE PHARMACEUTICAL",FEB,AERI,AERI,"Citadel Securities LLC","NASDAQ","N",AERI,
"AEROHIVE NETWORKS",JAN,HIVE,HIVE,"Susquehanna Securities","NYSE","N",HIVE,
"AEROJET ROCKETDYNE",FEB,AJRD,AJRD,"Susquehanna Securities","NYSE","N",AJRD,
"AEROPOSTALE INC",JAN,ARO,ARO,"Citadel Securities LLC","NYSE","N",ARO,
"AEROVIRONMENT, INC.",MAR,AVAV,AVAV,"Citadel Securities LLC","NASDAQ","N",AVAV,
"AETNA INC. NEW",JAN,AET,AET,"Timber Hill LLC","NYSE","N",AET,
"AFFILIATED MGRS GRP",MAR,AMG,AMG,"Citadel Securities LLC","NYSE","N",AMG,
"AFFYMETRIX, INC.",FEB,AFFX,AFFX,"Susquehanna Securities","NASDAQ","N",AFFX,
"AG MORTGAGE INV TR",FEB,MITT,MITT,"Wolverine Trading, LLC","NYSE","N",MITT,
"AGCO CP",FEB,AGCO,AGCO,"Citadel Securities LLC","NYSE","N",AGCO,
"AGENUS INC.",FEB,AGEN,AGEN,"Wolverine Trading, LLC","NASDAQ","N",AGEN,
"AGILENT TECH INC",FEB,A,A,"Citadel Securities LLC","NYSE","N",A,
"AGILENT TECH INC(ADJ)",,A1,A1,"Citadel Securities LLC","NYSE","N",A,"KEYS"
"AGILYSYS INC",JAN,AGYS,AGYS,"Susquehanna Securities","NASDAQ","N",AGYS,
"AGIOS PHARMACEUTICAL",FEB,AGIO,AGIO,"Susquehanna Securities","NASDAQ","N",AGIO,
"AGL RESOURCES INC",JAN,GAS,GAS,"Wolverine Trading, LLC","NYSE","N",GAS,
"AGNICO EAGLE MINES",FEB,AEM,AEM,"Timber Hill LLC","NYSE","N",AEM,
"AGRIUM INC.",JAN,AGU,AGU,"Citadel Securities LLC","NYSE","N",AGU,
"AIMMUNE THERAP CMN",MAR,AIMT,AIMT,"Susquehanna Securities","NASDAQ","N",AIMT,
"AIR LEASING CORP",FEB,AL,AL,"Susquehanna Securities","NYSE","N",AL,
"AIR METHODS CP",JAN,AIRM,AIRM,"Citadel Securities LLC","NASDAQ","N",AIRM,
"AIR PRODUCTS CHEM",MAR,APD,APD,"Citadel Securities LLC","NYSE","N",APD,
"AIR TRANSPORT",MAR,ATSG,ATSG,"Susquehanna Securities","NASDAQ","N",ATSG,
"AIRCASTLE LTD CMN ST",JAN,AYR,AYR,"Wolverine Trading, LLC","NYSE","N",AYR,
"AKAMAI TECHNOLOGIES",FEB,AKAM,AKAM,"Citadel Securities LLC","NASDAQ","N",AKAM,
"AKORN INC",MAR,AKRX,AKRX,"Susquehanna Securities","NASDAQ","N",AKRX,
"ALAMOS GOLD INC.",MAR,AGI,AGI,"Citadel Securities LLC","NYSE","N",AGI,
"ALASKA AIR GROUP INC",JAN,ALK,ALK,"Citadel Securities LLC","NYSE","N",ALK,
"ALASKA COMMUN SYS",JAN,ALSK,ALSK,"Susquehanna Securities","NASDAQ","N",ALSK,
"ALBANY MOLECULAR RES",JAN,AMRI,AMRI,"Susquehanna Securities","NASDAQ","N",AMRI,
"ALBEMARLE CP",MAR,ALB,ALB,"Morgan Stanley & Co. LLC","NYSE","N",ALB,
"ALCENTRA CAPITAL COM",MAR,ABDC,ABDC,"Wolverine Trading, LLC","NASDAQ","N",ABDC,
"ALCOA INC",JAN,AA,AA,"Timber Hill LLC","NYSE","N",AA,
"ALCOBRA LTD. ORD",MAR,ADHD,ADHD,"Morgan Stanley & Co. LLC","NASDAQ","N",ADHD,
"ALDER BIOPHARMA CMN",JAN,ALDR,ALDR,"Morgan Stanley & Co. LLC","NASDAQ","N",ALDR,
"ALERE INC",FEB,ALR,ALR,"Susquehanna Securities","NYSE","N",ALR,
"ALERIAN MLP",JAN,AMLP,AMLP,"Wolverine Trading, LLC","NYSE ARCA","N",AMLP,
"ALEXANDER & BALDWIN",MAR,ALEX,ALEX,"Citadel Securities LLC","NYSE","N",ALEX,
"ALEXANDRIA RL EST EQ",JAN,ARE,ARE,"Susquehanna Securities","NYSE","N",ARE,
"ALEXCO RESOURCE",JAN,AXU,AXU,"Susquehanna Securities","NYSE MKT","N",AXU,
"ALEXION PHARM INC",FEB,ALXN,ALXN,"Citadel Securities LLC","NASDAQ","N",ALXN,
"ALEXZA PHARMACEUTICA",MAR,ALXA,ALXA,"Citadel Securities LLC","NASDAQ","N",ALXA,
"ALIBABA GROUP HL LTD",JAN,BABA,BABA,"Citadel Securities LLC","NYSE","N",BABA,
"ALIGN TECHNOLOGY I",JAN,ALGN,ALGN,"Citadel Securities LLC","NASDAQ","N",ALGN,
"ALIMERA SCIENCES INC",JAN,ALIM,ALIM,"Susquehanna Securities","NASDAQ","N",ALIM,
"ALKERMES PLC",FEB,ALKS,ALKS,"Citadel Securities LLC","NASDAQ","N",ALKS,
"ALLEGHANY CP",JAN,Y,Y,"Wolverine Trading, LLC","NYSE","N",Y,
"ALLEGHENY TECH NEW",JAN,ATI,ATI,"Citadel Securities LLC","NYSE","N",ATI,
"ALLEGIANT TRAVEL COM",JAN,ALGT,ALGT,"Susquehanna Securities","NASDAQ","N",ALGT,
"ALLEGION PLC",MAR,ALLE,ALLE,"Citadel Securities LLC","NYSE","N",ALLE,
"ALLERGAN PLC",FEB,AGN,AGN,"Susquehanna Securities","NYSE","N",AGN,
"ALLETE INC.",JAN,ALE,ALE,"Morgan Stanley & Co. LLC","NYSE","N",ALE,
"ALLIANCE DATA SYS CP",MAR,ADS,ADS,"Citadel Securities LLC","NYSE","N",ADS,
"ALLIANCE FIBER OPTIC",JAN,AFOP,AFOP,"Wolverine Trading, LLC","NASDAQ","N",AFOP,
"ALLIANCE HOLDINGS GP",JAN,AHGP,AHGP,"Susquehanna Securities","NASDAQ","N",AHGP,
"ALLIANCE ONE INTL",MAR,AOI,AOI,"Susquehanna Securities","NYSE","N",AOI,
"ALLIANCE RESOURCE PT",MAR,ARLP,ARLP,"Citadel Securities LLC","NASDAQ","N",ARLP,
"ALLIANCEBERNSTEIN",JAN,AB,AB,"Susquehanna Securities","NYSE","N",AB,
"ALLIANT ENERGY CP",JAN,LNT,LNT,"Susquehanna Securities","NYSE","N",LNT,
"ALLIED WLD ASSUR CO",MAR,AWH,AWH,"Morgan Stanley & Co. LLC","NYSE","N",AWH,
"ALLISON TRANSMISSION",FEB,ALSN,ALSN,"Susquehanna Securities","NYSE","N",ALSN,
"ALLOT COMMUNICATIONS",MAR,ALLT,ALLT,"Citadel Securities LLC","NASDAQ","N",ALLT,
"ALLSCRIPTS HLTHCARE",MAR,MDRX,MDRX,"Citadel Securities LLC","NASDAQ","N",MDRX,
"ALLSTATE CP",JAN,ALL,ALL,"Citigroup Derivatives Markets Inc.","NYSE","N",ALL,
"ALLY FINANCIAL",MAR,ALLY,ALLY,"Morgan Stanley & Co. LLC","NYSE","N",ALLY,
