Symbol,Company Name, Lead Market Maker
AMCX,"AMC NETWORKS CL A","*** No LMM ***"
AMD,"ADV MICRO DEVICES","CITADEL SECURITIES LLC"
AME,"AMETEK INC","*** No LMM ***"
AMED,"AMEDISYS INC","CITADEL SECURITIES LLC"
AMG,"AFFILIATED MGRS GRP","*** No LMM ***"
AMGN,"AMGEN","SUSQUEHANNA SECURITIES"
AMJ,"JP MORGAN ALERIAN ET","*** No LMM ***"
AMKR,"AMKOR TECHNOLOGY","SUSQUEHANNA SECURITIES"
AMLP,"ALERIAN MLP","WOLVERINE TRADING, LLC"
AMP,"AMERIPRISE FINANCIAL","*** No LMM ***"
AMPE,"AMPIO PHARMACEUTICAL","MORGAN STANLEY & CO. LLC"
AMRI,"ALBANY MOLECULAR RES","*** No LMM ***"
AMRN,"AMARIN CORP ADS","*** No LMM ***"
AMSC,"AMER SUPERCONDUCTOR","CITADEL SECURITIES LLC"
AMT,"AMER TOWER CP","CITADEL SECURITIES LLC"
AMTD,"TD AMERITRADE HD CM","WOLVERINE TRADING, LLC"
AMX,"AMERICA MOVIL, S.A.B","*** No LMM ***"
AMZN,"AMAZON.COM INC","SUSQUEHANNA SECURITIES"
AN,"AUTONATION INC","WOLVERINE TRADING, LLC"
ANAC,"ANACOR PHARMACEUTICA","*** No LMM ***"
ANET,"ARISTA NETWORKS, INC","*** No LMM ***"
ANF,"ABERCROMBIE & FITCH","WOLVERINE TRADING, LLC"
ANFI,"AMIRA NATURE FOODS","CITADEL SECURITIES LLC"
ANGI,"ANGIE'S LIST, INC.","TIMBER HILL LLC"
ANIK,"ANIKA THERAPEUTICS","*** No LMM ***"
ANIP,"ANI  PHARMA INC","*** No LMM ***"
ANTH,"ANTHERA PHARMACEUTIC","*** No LMM ***"
ANTM,"ANTHEM, INC.","*** No LMM ***"
ANW,"AEGEAN MARINE PETROL","*** No LMM ***"
ANY,"SPHERE 3D CORP.","*** No LMM ***"
AON,"AON plc","WOLVERINE TRADING, LLC"
AOS,"SMITH A O CORP","*** No LMM ***"
APA,"APACHE CP","WOLVERINE TRADING, LLC"
APC,"ANADARKO PETROLEUM","CITADEL SECURITIES LLC"
APD,"AIR PRODUCTS CHEM","SUSQUEHANNA SECURITIES"
APH,"AMPHENOL CP","CITADEL SECURITIES LLC"
APLP,"ARCHROCK PARTNERS LP","*** No LMM ***"
APO,"APOLLO GLOBAL MGMNT","MORGAN STANLEY & CO. LLC"
APOL,"APOLLO ED GRP A","WOLVERINE TRADING, LLC"
APU,"AMERIGAS PARTNERS LP","*** No LMM ***"
AR,"ANTERO RESOURCES CP","CITADEL SECURITIES LLC"
ARAY,"ACCURAY INCORPORATED","WOLVERINE TRADING, LLC"
ARCB,"ARCBEST CORP","WOLVERINE TRADING, LLC"
ARCC,"ARES CAPITAL CORP","MORGAN STANLEY & CO. LLC"
ARCO,"ARCOS DORADOS HLDGS","WOLVERINE TRADING, LLC"
AREX,"APPROACH RES. INC.","MORGAN STANLEY & CO. LLC"
ARG,"AIRGAS INC","*** No LMM ***"
ARIA,"ARIAD PHARM INC","MORGAN STANLEY & CO. LLC"
ARII,"AMERICAN RAILCAR IND","WOLVERINE TRADING, LLC"
ARLP,"ALLIANCE RESOURCE PT","*** No LMM ***"
ARLZ,"ARALEZ PHARM INC","MORGAN STANLEY & CO. LLC"
ARMH,"ARM HOLDINGS PLC","SUSQUEHANNA SECURITIES"
ARNA,"ARENA PHARMACEUTICAL","MORGAN STANLEY & CO. LLC"
ARO,"AEROPOSTALE INC","WOLVERINE TRADING, LLC"
AROC,"Archrock, Inc.","WOLVERINE TRADING, LLC"
